"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Все новости столицы, России и мира - Вечерняя Москва","vm.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","72948","101750","00:01:15","0.0","3426"
"«Екатеринбург Он-Лайн» — региональный портал","e1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","71242","100900","00:09:04","0.0","3190"
"Мотор — автомобильный портал — Motor","motor.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","71001","102850","00:08:05","0.0","5660"
"Рамблер.Касса — продажа электронных билетов","kassa.rambler.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","70811","98600","00:05:44","0.0","3304"
"«Телепрограмма» — онлайн-версия женского журнала","teleprogramma.pro","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","70443","94150","00:01:51","0.0","3495"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","70353","96000","00:02:19","0.0","4146"
"Фильм Про — кинопортал","filmpro.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","69724","96000","00:01:22","0.0","2912"
"«Forumhouse.ru» — форум для дома и дачи","forumhouse.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Сообщества","да","69593","101350","00:14:31","0.0","4375"
"Информационный портал телерадиокомпании «Мир»","mir24.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Новости и СМИ->Телевидение, Бизнес->Деловые новости","Новости","да","67478","88950","00:01:05","0.0","2610"
"«LiveInternet» — сервис для блоггеров","liveinternet.ru","","Контентные проекты","да","65415","91600","00:07:08","0.0","3461"
"«Newsru.com» — новостной портал","newsru.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","64800","91850","00:13:04","0.0","5104"
"«Film.ru» — национальный кинопортал","film.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Контентные проекты","да","64783","92100","00:02:01","0.0","2856"
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","64657","100550","00:37:58","0.0","8492"
"«ИноСМИ.ru» — переводы публикаций зарубежных СМИ","inosmi.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","64277","91850","00:13:04","0.0","5241"
"Тонкости туризма — энциклопедия для туристов","tonkosti.ru","Путешествия->Туры и экскурсии, Путешествия","Контентные проекты","да","62720","86950","00:03:50","0.0","2931"
"«Колёса» — автомобильный онлайн-журнал","kolesa.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","61857","86550","00:03:07","0.0","3148"
"Драйв — автомобильный интернет-журнал","drive.ru","Авто и мото, Авто и мото->Автомобили","Контентные проекты","да","61584","111550","00:24:31","0.0","7439"
"«НГС.Новосибирск» — городской портал","ngs.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","59973","80550","00:09:03","0.0","2960"
"«Ярмарка Мастеров» — гипермаркет авторских работ","livemaster.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Интернет-магазины","да","59970","85800","00:12:14","0.0","3366"
"Ferra — интернет-издание - Ferra.ru","ferra.ru","Техника и технологии","Контентные проекты","да","58824","85150","00:02:09","0.0","3179"
"«Росбалт» — информационное агентство","rosbalt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","56376","74250","00:02:21","0.0","2519"
"Chip — компьютерный журнал","ichip.ru","Техника и технологии, Техника и технологии->Новости Hi-Tech","Контентные проекты","да","55337","75950","00:01:48","0.0","2399"
"КиберЛенинка предоставляет возможность читать тексты...","cyberleninka.ru","Образование->Учебно-методические материалы, Образование","Сервисы","да","54711","80400","00:05:07","0.0","2998"
"«Утро.ru» — ежедневная электронная газета","utro.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","54619","71300","00:02:01","0.0","3160"
"Рамблер.Почта — бесплатная почтовая служба","mail.rambler.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","52547","101550","01:32:24","0.0","10445"
"«Playboy» — журнал","playboyrussia.com","Для взрослых (18+), Для взрослых (18+)->Литература 18+","Контентные проекты","да","50546","68300","00:02:00","0.0","2627"
"«Евро-футбол.ру» — новости футбола России и Европы","euro-football.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","49756","71100","00:05:37","0.0","3456"
"Туристер.Ру — туристическая социальная сеть","tourister.ru","Путешествия","Контентные проекты","да","48310","64900","00:02:02","0.0","2045"
"Lostfilm.tv — портал о зарубежных сериалах","lostfilm.tv","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","47749","80850","00:39:09","0.0","10185"
"«Повар.ру» — кулинарные рецепты","povar.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","47645","63500","00:02:34","0.0","2105"
"Яндекс Плюс","plus.yandex.ru","Услуги","Сервисы","да","47508","65850","00:00:30","0.0","1734"
"Eurasia Daily — информационное агентство","eadaily.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","47383","63350","00:02:14","0.0","2359"
"«Домофонд» — платформа для подбора недвижимости","domofond.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","46987","68250","00:21:05","0.0","2941"
"«Еда» — кулинарный портал","eda.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","46412","62000","00:03:01","0.0","2073"
"«Passion.ru» — онлайн-журнал для женщин","passion.ru","Здоровье, красота, стиль","Контентные проекты","да","46069","60750","00:02:01","0.0","1952"
"«Нижний Новгород онлайн» — городской портал","nn.ru","Новости и СМИ","Новости","да","45182","59150","00:04:01","0.0","1690"
"Кьюто.ру — помощь в выборе нового автомобиля","quto.ru","Авто и мото, Авто и мото->Автомобили","Агрегаторы","да","43928","58300","00:03:10","0.0","2217"
"Новости кинематографа и телевидения. — Рамблер/кино","kino.rambler.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","40072","58700","00:07:20","0.0","3150"
"«Wmj.ru» — женский онлайн-журнал","wmj.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","39576","51200","00:02:14","0.0","1734"
"Яндекс.Работа — система поиска работы","rabota.yandex.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","39508","54700","00:11:49","0.20197585071350166","2305"
"Юридическая консультация онлайн","9111.ru","","Сообщества","да","38890","51800","00:03:57","0.0","1736"
"«Вести Экономика» — аналитические материалы","vestifinance.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Новости","да","38590","57900","00:04:11","0.0","2048"
"Последние новости Москвы, события и все развлечения...","moslenta.ru","Новости и СМИ","Новости","да","37836","59000","00:02:18","0.0","3709"
"RUPOSTERS - новости, которые вы заслужили!","ruposters.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","36629","50550","00:01:21","0.0","1747"
