"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Iamcook — пошаговые рецепты с фото","iamcook.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","33471","43250","00:02:06","0.0","1390"
"Зачатие, беременность, роды и ребенок на сайте для мам...","mama66.ru","Семья и дети->Беременность и роды, Семья и дети","Сообщества","да","32712","42450","00:01:16","0.0","1472"
"Мужской журнал MAXIM Online. Официальный сайт...","maximonline.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","32210","43200","00:04:46","0.0","1371"
"«Woman Hit» — женский онлайн-журнал","womanhit.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","31801","41450","00:01:51","0.0","1366"
"«Екатеринбург Он-Лайн» — региональный портал","e1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","31264","42500","00:09:24","0.0","1437"
"INMYROOM – Все о дизайне интерьера, свежие идеи...","inmyroom.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","30719","46200","00:09:44","0.0","2056"
"«Утро.ru» — ежедневная электронная газета","utro.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","30466","39900","00:01:39","0.0","1425"
"4pda - мобильные устройства и технологии","4pda.ru","Техника и технологии, Техника и технологии->Мобильный контент","Контентные проекты","да","30117","42700","00:11:09","0.0","1630"
"Cataloxy - каталог фирм и организаций, бесплатное...","cataloxy.ru","Бизнес->Реклама и маркетинг, Бизнес","Агрегаторы","да","28938","38000","00:01:08","0.0","1102"
"«Time Out» — развлекательный журнал","timeout.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Контентные проекты","да","28506","39150","00:01:56","0.0","1164"
"Яндекс.Работа — система поиска работы","rabota.yandex.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","28440","38400","00:10:02","0.1934032983508246","1518"
"«Tatler» — журнал о светской жизни и знаменитостях","tatler.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","27843","38500","00:03:20","0.0","1745"
"«Фонтанка.ру» — петербургская интернет-газета","fontanka.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","27794","36850","00:02:40","0.0","1249"
"НеБолеем.net – портал о медицине и здоровом образе...","neboleem.net","Медицина->Болезни, Медицина","Контентные проекты","да","27388","35050","00:01:02","0.0","1029"
"Яндекс Плюс","plus.yandex.ru","Услуги","Сервисы","да","26561","35150","00:00:23","0.0","981"
"«Летидор» — портал для активных родителей","letidor.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","25799","33450","00:02:48","0.0","1070"
"Calorizator.ru — портал о здоровом питании","calorizator.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","25672","35750","00:03:29","0.0","1253"
"Avrorra.com - Ежедневный журнал о красоте, моде, стиле...","avrorra.com","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","25336","32100","00:01:44","0.0","1076"
"«Росбалт» — информационное агентство","rosbalt.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","24754","32550","00:01:38","0.0","1046"
"Независимое интернет-издание ""ДНИ24""","dni24.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","24577","31100","00:00:40","0.0","1196"
